                           ,Secure_Rate ,Secured_Tactics_distribution                                                                                                                                                                                                                      ,Secured_TTPs_among_APT_GROUP_USED_TTPs
Machete (G0095)            ,4/11        ,"Counter({'execution': 2, 'initial-access': 1, 'multiple': 1})"                                                                                                                                                                                   ,"{'T1566.001', 'T1059.003', 'T1059.005', 'T1053.005'}"
Magic Hound (G0059)        ,31/78       ,"Counter({'discovery': 8, 'defense-evasion': 7, 'execution': 4, 'command-and-control': 3, 'multiple': 3, 'collection': 2, 'persistence': 2, 'credential-access': 1, 'lateral-movement': 1})"                                                      ,"{'T1070.003', 'T1562.004', 'T1083', 'T1572', 'T1070.004', 'T1082', 'T1027', 'T1059.001', 'T1562.002', 'T1046', 'T1033', 'T1059.003', 'T1049', 'T1562.001', 'T1547.001', 'T1136.001', 'T1057', 'T1113', 'T1005', 'T1016', 'T1105', 'T1021.001', 'T1071.001', 'T1047', 'T1482', 'T1059.005', 'T1112', 'T1056.001', 'T1003.001', 'T1053.005', 'T1098'}"
menuPass (G0045)           ,26/47       ,"Counter({'defense-evasion': 5, 'discovery': 5, 'collection': 4, 'execution': 4, 'multiple': 3, 'credential-access': 2, 'command-and-control': 1, 'initial-access': 1, 'lateral-movement': 1})"                                                   ,"{'T1070.003', 'T1083', 'T1036.003', 'T1070.004', 'T1566.001', 'T1027', 'T1059.001', 'T1119', 'T1046', 'T1560', 'T1055.012', 'T1059.003', 'T1049', 'T1036', 'T1003.003', 'T1005', 'T1016', 'T1105', 'T1021.001', 'T1047', 'T1087.002', 'T1056.001', 'T1074.001', 'T1003.002', 'T1053.005', 'T1106'}"
Molerats (G0021)           ,9/16        ,"Counter({'execution': 2, 'multiple': 2, 'discovery': 1, 'command-and-control': 1, 'credential-access': 1, 'defense-evasion': 1, 'initial-access': 1})"                                                                                           ,"{'T1057', 'T1547.001', 'T1105', 'T1555.003', 'T1059.005', 'T1053.005', 'T1566.001', 'T1027', 'T1059.001'}"
Moses Staff (G1009)        ,7/12        ,"Counter({'discovery': 3, 'defense-evasion': 2, 'command-and-control': 1, 'lateral-movement': 1})"                                                                                                                                                ,"{'T1562.004', 'T1087.001', 'T1082', 'T1016', 'T1105', 'T1021.002', 'T1027'}"
Metador (G1013)            ,6/9         ,"Counter({'command-and-control': 2, 'defense-evasion': 2, 'execution': 1, 'multiple': 1})"                                                                                                                                                        ,"{'T1059.003', 'T1070.004', 'T1105', 'T1546.003', 'T1071.001', 'T1027'}"
Moafee (G0002)             ,0/1         ,Counter()                                                                                                                                                                                                                                         ,set()
Mustang Panda (G0129)      ,22/44       ,"Counter({'discovery': 6, 'execution': 4, 'command-and-control': 3, 'multiple': 3, 'collection': 2, 'defense-evasion': 2, 'credential-access': 1, 'initial-access': 1})"                                                                          ,"{'T1518', 'T1083', 'T1082', 'T1070.004', 'T1546.003', 'T1566.001', 'T1027', 'T1059.001', 'T1119', 'T1059.003', 'T1049', 'T1547.001', 'T1003.003', 'T1057', 'T1016', 'T1105', 'T1219', 'T1071.001', 'T1047', 'T1059.005', 'T1074.001', 'T1053.005'}"
Mofang (G0103)             ,2/5         ,"Counter({'defense-evasion': 1, 'initial-access': 1})"                                                                                                                                                                                            ,"{'T1566.001', 'T1027'}"
MoustachedBouncer (G1019)  ,2/8         ,"Counter({'execution': 1, 'collection': 1})"                                                                                                                                                                                                      ,"{'T1059.001', 'T1113'}"
MuddyWater (G0069)         ,29/59       ,"Counter({'discovery': 9, 'execution': 4, 'command-and-control': 4, 'credential-access': 3, 'collection': 2, 'defense-evasion': 2, 'multiple': 2, 'exfiltration': 1, 'initial-access': 1, 'privilege-escalation': 1})"                            ,"{'T1518', 'T1041', 'T1083', 'T1518.001', 'T1082', 'T1027.004', 'T1566.001', 'T1059.001', 'T1033', 'T1059.003', 'T1562.001', 'T1049', 'T1547.001', 'T1555.003', 'T1057', 'T1113', 'T1016', 'T1105', 'T1219', 'T1071.001', 'T1047', 'T1059.005', 'T1087.002', 'T1555', 'T1003.001', 'T1548.002', 'T1074.001', 'T1053.005', 'T1132.001'}"
Orangeworm (G0071)         ,2/2         ,"Counter({'command-and-control': 1, 'lateral-movement': 1})"                                                                                                                                                                                      ,"{'T1071.001', 'T1021.002'}"
Naikon (G0019)             ,7/14        ,"Counter({'discovery': 3, 'multiple': 2, 'execution': 1, 'initial-access': 1})"                                                                                                                                                                   ,"{'T1046', 'T1518.001', 'T1016', 'T1547.001', 'T1053.005', 'T1566.001', 'T1047'}"
Nomadic Octopus (G0133)    ,5/7         ,"Counter({'execution': 2, 'command-and-control': 1, 'defense-evasion': 1, 'initial-access': 1})"                                                                                                                                                  ,"{'T1059.003', 'T1105', 'T1036', 'T1566.001', 'T1059.001'}"
PLATINUM (G0068)           ,6/11        ,"Counter({'multiple': 2, 'command-and-control': 1, 'credential-access': 1, 'defense-evasion': 1, 'initial-access': 1})"                                                                                                                           ,"{'T1055', 'T1056.001', 'T1003.001', 'T1105', 'T1036', 'T1566.001'}"
POLONIUM (G1005)           ,0/7         ,Counter()                                                                                                                                                                                                                                         ,set()
OilRig (G0049)             ,36/56       ,"Counter({'discovery': 13, 'execution': 4, 'command-and-control': 4, 'credential-access': 4, 'defense-evasion': 3, 'multiple': 3, 'collection': 2, 'exfiltration': 1, 'initial-access': 1, 'lateral-movement': 1})"                               ,"{'T1120', 'T1069.001', 'T1572', 'T1082', 'T1070.004', 'T1566.001', 'T1027', 'T1059.001', 'T1119', 'T1046', 'T1033', 'T1059.003', 'T1049', 'T1555.003', 'T1036', 'T1057', 'T1201', 'T1071.004', 'T1113', 'T1016', 'T1105', 'T1012', 'T1048.003', 'T1071.001', 'T1021.001', 'T1047', 'T1059.005', 'T1087.002', 'T1555', 'T1087.001', 'T1555.004', 'T1056.001', 'T1003.001', 'T1007', 'T1053.005', 'T1497.001'}"
Patchwork (G0040)          ,23/40       ,"Counter({'collection': 4, 'discovery': 4, 'multiple': 4, 'execution': 3, 'command-and-control': 2, 'defense-evasion': 2, 'credential-access': 1, 'initial-access': 1, 'lateral-movement': 1, 'privilege-escalation': 1})"                        ,"{'T1083', 'T1518.001', 'T1082', 'T1070.004', 'T1197', 'T1566.001', 'T1059.001', 'T1119', 'T1560', 'T1033', 'T1055.012', 'T1059.003', 'T1547.001', 'T1555.003', 'T1005', 'T1105', 'T1021.001', 'T1059.005', 'T1112', 'T1548.002', 'T1074.001', 'T1053.005', 'T1132.001'}"
PittyTiger (G0011)         ,0/2         ,Counter()                                                                                                                                                                                                                                         ,set()
Poseidon Group (G0033)     ,7/8         ,"Counter({'discovery': 5, 'execution': 1, 'credential-access': 1})"                                                                                                                                                                               ,"{'T1087.002', 'T1057', 'T1087.001', 'T1049', 'T1003', 'T1007', 'T1059.001'}"
Putter Panda (G0024)       ,4/4         ,"Counter({'defense-evasion': 2, 'multiple': 2})"                                                                                                                                                                                                  ,"{'T1055.001', 'T1547.001', 'T1562.001', 'T1027'}"
RTM (G0048)                ,3/7         ,"Counter({'command-and-control': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                                                                                         ,"{'T1547.001', 'T1219', 'T1566.001'}"
PROMETHIUM (G0056)         ,3/11        ,Counter({'multiple': 3})                                                                                                                                                                                                                          ,"{'T1547.001', 'T1078.003', 'T1543.003'}"
Rancor (G0075)             ,6/8         ,"Counter({'command-and-control': 2, 'execution': 2, 'initial-access': 1, 'multiple': 1})"                                                                                                                                                         ,"{'T1059.003', 'T1105', 'T1053.005', 'T1071.001', 'T1566.001', 'T1059.005'}"
SideCopy (G1008)           ,8/16        ,"Counter({'discovery': 4, 'execution': 2, 'command-and-control': 1, 'initial-access': 1})"                                                                                                                                                        ,"{'T1518', 'T1106', 'T1518.001', 'T1082', 'T1016', 'T1105', 'T1566.001', 'T1059.005'}"
Scarlet Mimic (G0029)      ,0/1         ,Counter()                                                                                                                                                                                                                                         ,set()
Rocke (G0106)              ,15/36       ,"Counter({'defense-evasion': 5, 'discovery': 4, 'command-and-control': 2, 'multiple': 2, 'credential-access': 1, 'impact': 1})"                                                                                                                   ,"{'T1552.004', 'T1057', 'T1046', 'T1562.004', 'T1055.002', 'T1518.001', 'T1562.001', 'T1496', 'T1082', 'T1027.004', 'T1070.004', 'T1547.001', 'T1105', 'T1071.001', 'T1027'}"
Scattered Spider (G1015)   ,5/31        ,"Counter({'command-and-control': 3, 'execution': 1, 'discovery': 1})"                                                                                                                                                                             ,"{'T1046', 'T1572', 'T1219', 'T1105', 'T1047'}"
Sidewinder (G0121)         ,17/30       ,"Counter({'discovery': 8, 'execution': 2, 'collection': 2, 'command-and-control': 2, 'defense-evasion': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                  ,"{'T1518', 'T1057', 'T1119', 'T1033', 'T1083', 'T1518.001', 'T1082', 'T1016', 'T1547.001', 'T1105', 'T1059.005', 'T1074.001', 'T1071.001', 'T1566.001', 'T1027', 'T1124', 'T1059.001'}"
Silence (G0091)            ,14/28       ,"Counter({'execution': 4, 'multiple': 3, 'defense-evasion': 2, 'collection': 1, 'command-and-control': 1, 'credential-access': 1, 'initial-access': 1, 'lateral-movement': 1})"                                                                   ,"{'T1053.005', 'T1055', 'T1112', 'T1113', 'T1106', 'T1059.003', 'T1003.001', 'T1070.004', 'T1547.001', 'T1105', 'T1059.005', 'T1021.001', 'T1566.001', 'T1059.001'}"
Silent Librarian (G0122)   ,0/13        ,Counter()                                                                                                                                                                                                                                         ,set()
SilverTerrier (G0083)      ,1/4         ,Counter({'command-and-control': 1})                                                                                                                                                                                                               ,{'T1071.001'}
Suckfly (G0039)            ,3/5         ,"Counter({'credential-access': 1, 'discovery': 1, 'execution': 1})"                                                                                                                                                                               ,"{'T1059.003', 'T1003', 'T1046'}"
Sowbug (G0054)             ,6/9         ,"Counter({'discovery': 3, 'credential-access': 1, 'execution': 1, 'multiple': 1})"                                                                                                                                                                ,"{'T1083', 'T1059.003', 'T1056.001', 'T1082', 'T1003', 'T1135'}"
Stealth Falcon (G0038)     ,14/16       ,"Counter({'discovery': 5, 'credential-access': 3, 'execution': 2, 'collection': 1, 'command-and-control': 1, 'exfiltration': 1, 'multiple': 1})"                                                                                                  ,"{'T1057', 'T1555', 'T1041', 'T1555.004', 'T1033', 'T1082', 'T1005', 'T1016', 'T1012', 'T1555.003', 'T1053.005', 'T1071.001', 'T1047', 'T1059.001'}"
Strider (G0041)            ,2/3         ,"Counter({'command-and-control': 1, 'multiple': 1})"                                                                                                                                                                                              ,"{'T1556.002', 'T1090.001'}"
TA2541 (G1018)             ,13/27       ,"Counter({'multiple': 4, 'execution': 3, 'defense-evasion': 2, 'discovery': 2, 'command-and-control': 1, 'initial-access': 1})"                                                                                                                   ,"{'T1047', 'T1055', 'T1055.012', 'T1518.001', 'T1562.001', 'T1082', 'T1547.001', 'T1105', 'T1059.005', 'T1053.005', 'T1566.001', 'T1027', 'T1059.001'}"
TA459 (G0062)              ,3/5         ,"Counter({'execution': 2, 'initial-access': 1})"                                                                                                                                                                                                  ,"{'T1566.001', 'T1059.005', 'T1059.001'}"
TA505 (G0092)              ,13/34       ,"Counter({'execution': 4, 'defense-evasion': 4, 'command-and-control': 2, 'credential-access': 1, 'multiple': 1, 'initial-access': 1})"                                                                                                           ,"{'T1071.001', 'T1553.005', 'T1112', 'T1106', 'T1562.001', 'T1059.003', 'T1105', 'T1059.005', 'T1555.003', 'T1055.001', 'T1566.001', 'T1027', 'T1059.001'}"
TA551 (G0127)              ,6/14        ,"Counter({'command-and-control': 3, 'defense-evasion': 1, 'execution': 1, 'initial-access': 1})"                                                                                                                                                  ,"{'T1059.003', 'T1105', 'T1036', 'T1071.001', 'T1132.001', 'T1566.001'}"
TeamTNT (G0139)            ,26/54       ,"Counter({'discovery': 9, 'defense-evasion': 6, 'command-and-control': 3, 'execution': 2, 'multiple': 2, 'collection': 1, 'credential-access': 1, 'impact': 1, 'persistence': 1})"                                                                ,"{'T1070.003', 'T1562.004', 'T1120', 'T1518.001', 'T1083', 'T1070.004', 'T1082', 'T1027', 'T1059.001', 'T1046', 'T1059.003', 'T1562.001', 'T1496', 'T1049', 'T1547.001', 'T1036', 'T1136.001', 'T1057', 'T1016', 'T1105', 'T1219', 'T1071.001', 'T1552.004', 'T1543.003', 'T1074.001', 'T1007'}"
TEMP.Veles (G0088)         ,7/17        ,"Counter({'multiple': 2, 'execution': 1, 'collection': 1, 'credential-access': 1, 'defense-evasion': 1, 'lateral-movement': 1})"                                                                                                                  ,"{'T1546.012', 'T1003.001', 'T1070.004', 'T1074.001', 'T1021.001', 'T1053.005', 'T1059.001'}"
The White Company (G0089)  ,4/7         ,"Counter({'discovery': 2, 'defense-evasion': 1, 'initial-access': 1})"                                                                                                                                                                            ,"{'T1124', 'T1566.001', 'T1518.001', 'T1070.004'}"
Threat Group-1314 (G0028)  ,2/4         ,"Counter({'execution': 1, 'lateral-movement': 1})"                                                                                                                                                                                                ,"{'T1059.003', 'T1021.002'}"
Thrip (G0076)              ,3/4         ,"Counter({'execution': 1, 'command-and-control': 1, 'exfiltration': 1})"                                                                                                                                                                          ,"{'T1048.003', 'T1219', 'T1059.001'}"
Threat Group-3390 (G0027)  ,26/57       ,"Counter({'discovery': 6, 'defense-evasion': 4, 'multiple': 4, 'collection': 3, 'execution': 3, 'command-and-control': 2, 'credential-access': 2, 'initial-access': 1, 'privilege-escalation': 1})"                                               ,"{'T1070.004', 'T1566.001', 'T1027', 'T1059.001', 'T1562.002', 'T1119', 'T1046', 'T1033', 'T1055.012', 'T1059.003', 'T1049', 'T1547.001', 'T1005', 'T1016', 'T1105', 'T1012', 'T1071.001', 'T1047', 'T1112', 'T1087.001', 'T1056.001', 'T1003.001', 'T1543.003', 'T1548.002', 'T1074.001', 'T1003.002'}"
Tonto Team (G0131)         ,7/15        ,"Counter({'discovery': 2, 'execution': 1, 'command-and-control': 1, 'credential-access': 1, 'initial-access': 1, 'multiple': 1})"                                                                                                                 ,"{'T1056.001', 'T1069.001', 'T1105', 'T1003', 'T1566.001', 'T1135', 'T1059.001'}"
Turla (G0010)              ,33/66       ,"Counter({'discovery': 14, 'multiple': 7, 'execution': 4, 'command-and-control': 3, 'defense-evasion': 2, 'collection': 1, 'credential-access': 1, 'lateral-movement': 1})"                                                                       ,"{'T1055', 'T1083', 'T1090.001', 'T1069.001', 'T1120', 'T1518.001', 'T1082', 'T1134.002', 'T1546.003', 'T1059.001', 'T1059.003', 'T1562.001', 'T1049', 'T1547.001', 'T1055.001', 'T1057', 'T1201', 'T1005', 'T1016', 'T1105', 'T1078.003', 'T1021.002', 'T1012', 'T1071.001', 'T1124', 'T1059.005', 'T1087.002', 'T1112', 'T1087.001', 'T1555.004', 'T1007', 'T1106', 'T1547.004'}"
Transparent Tribe (G0134)  ,3/16        ,"Counter({'defense-evasion': 1, 'execution': 1, 'initial-access': 1})"                                                                                                                                                                            ,"{'T1566.001', 'T1027', 'T1059.005'}"
Volatile Cedar (G0123)     ,1/5         ,Counter({'command-and-control': 1})                                                                                                                                                                                                               ,{'T1105'}
Tropic Trooper (G0081)     ,25/39       ,"Counter({'discovery': 10, 'multiple': 5, 'command-and-control': 4, 'defense-evasion': 2, 'execution': 2, 'collection': 1, 'initial-access': 1})"                                                                                                 ,"{'T1518', 'T1083', 'T1518.001', 'T1082', 'T1070.004', 'T1566.001', 'T1027', 'T1135', 'T1119', 'T1046', 'T1033', 'T1059.003', 'T1049', 'T1547.001', 'T1055.001', 'T1057', 'T1071.004', 'T1016', 'T1105', 'T1078.003', 'T1071.001', 'T1543.003', 'T1132.001', 'T1106', 'T1547.004'}"
Windigo (G0124)            ,4/7         ,"Counter({'discovery': 3, 'collection': 1})"                                                                                                                                                                                                      ,"{'T1518', 'T1083', 'T1082', 'T1005'}"
Whitefly (G0107)           ,3/9         ,"Counter({'command-and-control': 1, 'credential-access': 1, 'defense-evasion': 1})"                                                                                                                                                               ,"{'T1105', 'T1003.001', 'T1027'}"
Winnti Group (G0044)       ,3/6         ,"Counter({'discovery': 2, 'command-and-control': 1})"                                                                                                                                                                                             ,"{'T1057', 'T1105', 'T1083'}"
Windshift (G0112)          ,13/19       ,"Counter({'discovery': 5, 'execution': 2, 'command-and-control': 2, 'defense-evasion': 2, 'initial-access': 1, 'multiple': 1})"                                                                                                                   ,"{'T1518', 'T1057', 'T1047', 'T1033', 'T1518.001', 'T1082', 'T1547.001', 'T1105', 'T1036', 'T1071.001', 'T1566.001', 'T1027', 'T1059.005'}"
Wizard Spider (G0102)      ,35/64       ,"Counter({'multiple': 7, 'discovery': 7, 'credential-access': 4, 'execution': 3, 'defense-evasion': 3, 'collection': 2, 'command-and-control': 2, 'exfiltration': 2, 'lateral-movement': 2, 'impact': 1, 'initial-access': 1, 'persistence': 1})" ,"{'T1518', 'T1055', 'T1041', 'T1518.001', 'T1070.004', 'T1082', 'T1197', 'T1566.001', 'T1135', 'T1059.001', 'T1033', 'T1059.003', 'T1562.001', 'T1547.001', 'T1055.001', 'T1136.001', 'T1003.003', 'T1005', 'T1016', 'T1105', 'T1021.002', 'T1021.001', 'T1048.003', 'T1071.001', 'T1047', 'T1087.002', 'T1112', 'T1555.004', 'T1003.001', 'T1490', 'T1543.003', 'T1074.001', 'T1003.002', 'T1053.005', 'T1547.004'}"
Volt Typhoon (G1017)       ,20/37       ,"Counter({'discovery': 9, 'execution': 3, 'credential-access': 3, 'collection': 2, 'command-and-control': 1, 'defense-evasion': 1, 'multiple': 1})"                                                                                               ,"{'T1518', 'T1069.001', 'T1090.001', 'T1082', 'T1070.004', 'T1059.001', 'T1033', 'T1059.003', 'T1049', 'T1003.003', 'T1057', 'T1005', 'T1016', 'T1012', 'T1047', 'T1087.002', 'T1555', 'T1003.001', 'T1074.001', 'T1497.001'}"
WIRTE (G0090)              ,5/11        ,"Counter({'execution': 2, 'command-and-control': 2, 'initial-access': 1})"                                                                                                                                                                        ,"{'T1059.001', 'T1105', 'T1071.001', 'T1566.001', 'T1059.005'}"
ZIRCONIUM (G0128)          ,11/26       ,"Counter({'discovery': 5, 'command-and-control': 1, 'credential-access': 1, 'defense-evasion': 1, 'execution': 1, 'exfiltration': 1, 'multiple': 1})"                                                                                             ,"{'T1041', 'T1033', 'T1059.003', 'T1082', 'T1016', 'T1547.001', 'T1105', 'T1555.003', 'T1012', 'T1036', 'T1124'}"
